NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN
62,Sehat Pria,Untuk menambah tenaga lelaki,"Jahe, jintan hitam,kiji beling, muso dan kedewung, pinang muda, daun sirih, kulit jeruk",seminggu 1x,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
63,Sehat Wanita,Untuk menambah setamina perempuan dan menjaga organ kewanitaan,"Jahe, jintan hitam,kiji beling, muso dan kedewung, pinang muda, daun sirih, kulit jeruk, kayu rapet, majaan",seminggu 1x,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
64,Nafsu Makan,menambah nafsu makan,"jahe, adas, pulosari, muso, kedewung, temulawak",seminggu2x,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
65,Gatal-gatal,untuk menyembuhkan gatal-gatar dan alergi,"jahe, daun sirih, kulit jeruk, sambi roto, muso dan kedewung",sehari 1x,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
66,Ibu Melahirkan,memperlancar ASI,"Adas, pulosari, muso , kedwung, daun sirih, kulit jeruk, kayu rapet, majaan, sambi roto","sehari 1x, jika sudah lancar maka boleh seminggu 3x",tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
67,Jamu Sakit Pinggang,meredakan nyeri pinggang dan menambah stamina,"kiji beling, jahe, muso , kedewung, daun sirih, kulit jeruk, dan pinang muda",seminggu 3x,tidak ada,,TOKO BU EMA,hingga luar madura,pamekasan,pamekasan,
68,Jaselang,"Menambah stamina, pegal linu, capek-capek, mengahangatkan badan dll","jahe emprit, seccang, akar alang-alang, biji pala, kapulaga, dan gula pasir ","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,hingga luar madura,pamekasan,pamekasan,
69,Macho,"Menambah stamina dan ereksi, meningkatkan libido, mengobati pegal linu, capek-capek, dan menghangatkan badan","habbatus sauda', pinang muda, bawang putih lanang, temu kunci dll","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,hingga luar madura,pamekasan,pamekasan,
70,Kusir,"menghilangkan bau badan, sakit kepala dll","kunyit, asam, daun sririh pilihan dll","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,hingga luar madura,pamekasan,pamekasan,
71,Sarpet Manjakani,"mencegah keputihan, menghilangkan bau  badan, meraptkan vagina dll","temu kunci, jahe, pinang muda, sirih, manjakani","1,5 sendok di seduh dengan 1 gelas air hangat",tidak ada,serbuk,Warda,hingga luar madura,pamekasan,pamekasan,
72,Jamu Sondhep,"meredakan nyeri otot bagian bahu, otot piggang, dan memperlancar peredaran darah",,"diminum ketika sakit nyeri oto bagian puggung, 1-2 sendok diseduh dengan air hangat",tidak ada,serbuk,TOKO ANGGREK,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,
73,Sale Karang,"sakit gigi, gusi bengkak dan gusi berdarah",,"diminum ketika sakit gigi atau gusi, 1-2 diseduh dengan air hangat",tidak ada,serbuk,TOKO ANGGREK,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,
74,Daun sirih,"menghilangkan bau badan, mengobati sariawan, menghilangkan mau bulut, mencegah keropos pada gigi dan tulang",,1 bungkus diseduh dengan air hangat,tidak ada,serbuk,TOKO ANGGREK,hingga luar madura,"Jl.Anggrek, Lingkungan Delama, pajagalan",Sumenep,
75,Kuda Hitam,Untuk meningkatkan kekuatan pada pria,"tangkur, pasak bumi, pinang muda, bawang lanang, jahe merah, rempah dll",1 bungkus diseduh dengan 150 ml air hangat,tidak ada,serbuk,RATOHQU,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,
76,Jahe Merah Plus,Untuk menambah stamina tubuh,"jahe merah, gula,  sereh, kayu manis, kapulaga, cengkeh",2 sendok makan dan 250 ml air hangat,tidak ada,serbuk,RATOHQU,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,
77,ekstrak jahe,untuk mengobati gejala masuk angin,"jahe emprit, gula,  sereh, kayu manis, kapulaga, cengkeh",2 sendok makan dan 250 ml air hangat,tidak ada,serbuk,RATOHQU,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,
78,ekstrak temulawak,untuk mengobati penyakit asam lambung dan menambah nafsu makan,"temulawak, gula,  sereh, kayu manis, kapulaga, cengkeh",2 sendok makan dan 250 ml air hangat,tidak ada,serbuk,RATOHQU,online (se-Indonesia),"Bunten Bar, Ketapang",Sampang,
